title,url,source,category,college,location,description,department,specialization,systemGroup
Assistant Professor of Information Systems,https://csucareers.calstate.edu/en-us/job/552729/assistant-professor-of-information-systems,CSU,Instructional Faculty – Tenured/Tenure-Track,,"Cal Poly - San Luis Obispo Campus, CA",,Information Systems,Information Systems,California Public
Assistant Professor of Information Systems,https://csucareers.calstate.edu/en-us/job/550578/assistant-professor-of-information-systems,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Long Beach","Long Beach, CA",,Information Systems,Information Systems,California Public
Assistant Professor of Information Systems,https://hofstra.peopleadmin.com/postings/6295,NY,Faculty,Hofstra University,"Hofstra University, NY",,Information Systems,Information Systems,New York Public
Assistant Professor of Information Systems - Cyber Security,https://morgan.peopleadmin.com/postings/8266,MD,Faculty,Morgan State University,"Baltimore, MD",,Information Systems - Cyber Security,Information Systems - Cyber Security,Maryland
Assistant Professor of Information Systems - Equitable AI & Machine Learning,https://morgan.peopleadmin.com/postings/8267,MD,Faculty,Morgan State University,"Baltimore, MD",,Information Systems - Equitable AI & Machine Learning,Information Systems - Equitable AI & Machine Learning,Maryland
Assistant Professor of Information Systems – Cybersecurity Management,https://hofstra.peopleadmin.com/postings/7032,NY,Faculty,Hofstra University,"Hofstra University, NY",,Information Systems – Cybersecurity Management,Information Systems – Cybersecurity Management,New York Public
Assistant Professor of Instruction - Video Production & Documentary,https://fa-ewkd-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/42772,FL,Faculty,University of South Florida,"Tampa, FL",,Instruction - Video Production & Documentary,Instruction - Video Production & Documentary,Florida
Assistant Professor of Instruction – Communication Studies / Assistant Director of Speech,https://jobs.utdallas.edu/postings/31250,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,Instruction – Communication Studies / Assistant Director of Speech,Instruction – Communication Studies / Assistant Director of Speech,Texas
Assistant Professor of Instruction – Neuroscience,https://jobs.utdallas.edu/postings/31169,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,Instruction – Neuroscience,Instruction – Neuroscience,Texas
Assistant Professor of Instruction in Electrical and Computer Engineering,https://jobs.utdallas.edu/postings/31048,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,Instruction in Electrical and Computer Engineering,Instruction in Electrical and Computer Engineering,Texas
Assistant Professor of Instruction in Management (Non-Tenure Track),https://www.ohiouniversityjobs.com/postings/56133,OH,Faculty,Ohio University,"Athens, OH",,Instruction in Management (Non-Tenure Track),Instruction in Management (Non-Tenure Track),Ohio
Assistant Professor of Instruction in Professional and Technical Communication,https://jobs.utdallas.edu/postings/31243,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,Instruction in Professional and Technical Communication,Instruction in Professional and Technical Communication,Texas
Assistant Professor of Instruction of Kinesiology / Instructor of Kinesiology,https://www.southwestern.edu/live/news/17151-assistant-professor-of-instruction-of-kinesiology-,TX,Faculty,Southwestern University,"Georgetown, TX",,Instruction of Kinesiology / Instructor of Kinesiology,Instruction of Kinesiology / Instructor of Kinesiology,Texas
Assistant Professor of Instruction or Practice,https://jobs.utdallas.edu/postings/31313,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,Instruction or Practice,Instruction or Practice,Texas
Assistant Professor of Instruction-Guitar Studies,https://jobs.utdallas.edu/postings/31319,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,Instruction-Guitar Studies,Instruction-Guitar Studies,Texas
"Assistant Professor of Instruction, Medical Anatomy (non-tenure track, 11 months) Cleveland Campus",https://www.ohiouniversityjobs.com/postings/55908,OH,Faculty,Ohio University,"Athens, OH",,"Instruction, Medical Anatomy (non-tenure track, 11 months) Cleveland Campus","Instruction, Medical Anatomy (non-tenure track, 11 months) Cleveland Campus",Ohio
"Assistant Professor of Instruction, Political Science, non-tenure track",https://www.ohiouniversityjobs.com/postings/56025,OH,Faculty,Ohio University,"Athens, OH",,"Instruction, Political Science, non-tenure track","Instruction, Political Science, non-tenure track",Ohio
Assistant Professor of Integrative Physiology,https://recruit.ucdavis.edu/JPF07371,UC,Faculty,UC Davis,"Davis, CA",,Integrative Physiology,Integrative Physiology,California Public
"Assistant Professor of Interactive Art, Performance & Games (Initial Review Date 11/14/25)",https://recruit.ucsc.edu/JPF01998,UC,Faculty,UC Santa Cruz,"Santa Cruz, CA",,"Interactive Art, Performance & Games (Initial Review Date 11/14/25)","Interactive Art, Performance & Games (Initial Review Date 11/14/25)",California Public
Assistant Professor of Italian,https://www.ugajobsearch.com/postings/464020,GA,Faculty,University of Georgia,"Athens, GA",,Italian,Italian,Georgia
Assistant Professor of Japanese Language Studies,https://indiana.peopleadmin.com/postings/31809,IN,Faculty,Indiana University,"Bloomington, IN",,Japanese Language Studies,Japanese Language Studies,Indiana
Assistant Professor of Japanese One-Year Term (Start Fall 2026),https://apply.interfolio.com/175103,IA,Faculty,Grinnell College,"Grinnell, IA","The Department of Chinese and Japanese invites applications for a 1-year appointment in Japanese beginning Fall 2026. Assistant Professor (Ph.D.) preferred; Instructor (ABD) or Associate Professor possible. Research and teaching interests might include, but are not limited to: Japanese literature, Japanese film and media, linguistics, and Japanese pedagogy and second-language acquisition. The teaching load is five courses over two semesters . &nbsp; Additional information about our curriculum and faculty can be found at https://www.grinnell.edu/academics/majors-concentrations/chinese-japanese .",Japanese One-Year Term (Start Fall 2026),Japanese One-Year Term (Start Fall 2026),Iowa
Assistant Professor of Jewish Studies,https://careers.pageuppeople.com/876/cw/en-us/job/498513/assistant-professor-of-jewish-studies,NY,Faculty,Yeshiva University,"Street, NY",,Jewish Studies,Jewish Studies,New York Public
Assistant Professor of Journalism,https://jobs.uca.edu/postings/18632,AR,Faculty,University of Central Arkansas,"Conway, AR",,Journalism,Journalism,Arkansas
Assistant Professor of Kinesiology,https://csucareers.calstate.edu/en-us/job/552306/assistant-professor-of-kinesiology,CSU,Instructional Faculty – Tenured/Tenure-Track,California State University San Marcos,"San Marcos, CA",,Kinesiology,Kinesiology,California Public
Assistant Professor of Kinesiology (Biomechanics),https://csucareers.calstate.edu/en-us/job/549701/assistant-professor-of-kinesiology-biomechanics,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, East Bay","East Bay, CA",,Kinesiology (Biomechanics),Kinesiology (Biomechanics),California Public
Assistant Professor of Latinx Studies and Spanish,https://www.ugajobsearch.com/postings/464015,GA,Faculty,University of Georgia,"Athens, GA",,Latinx Studies and Spanish,Latinx Studies and Spanish,Georgia
"Assistant Professor of Law - Contracts, Business Law, or Related Areas",https://employment.niu.edu/postings/88989,IL,Faculty,Northern Illinois University,"DeKalb, IL",,"Law - Contracts, Business Law, or Related Areas","Law - Contracts, Business Law, or Related Areas",
Assistant Professor of Library and Information Science,https://chicagostate.peopleadmin.com/postings/16522,IL,Faculty,Chicago State University,"Chicago, IL",,Library and Information Science,Library and Information Science,
Assistant Professor of Management,https://csucareers.calstate.edu/en-us/job/554480/assistant-professor-of-management,CSU,Instructional Faculty – Tenured/Tenure-Track,"California State University, Bakersfield","Bakersfield, CA",,Management,Management,California Public
Assistant Professor of Management Information Systems,https://indiana.peopleadmin.com/postings/32071,IN,Faculty,Indiana University,"Bloomington, IN",,Management Information Systems,Management Information Systems,Indiana
Assistant Professor of Management- State University Faculty,https://minnstate.wd1.myworkdayjobs.com/Minnesota_State_Careers/job/St-Cloud/Assistant-Professor-of-Management--State-University-Faculty_JR0000004157,MN,Faculty,St. Cloud State University,"St. Cloud, MN",,Management- State University,Management- State University,
Assistant Professor of Management/Organizational Behavior,https://csucareers.calstate.edu/en-us/job/552754/assistant-professor-of-managementorganizational-behavior,CSU,Instructional Faculty – Tenured/Tenure-Track,"California Polytechnic State University, San Luis Obispo","Cal Poly - San Luis Obispo Campus, CA",,Management/Organizational Behavior,Management/Organizational Behavior,California Public
